"","election_id","office_id","candidate_id","candidate","party","votes","vote_share"
"1","IN_2016-05-03_PRI","TC2_Bartholomew_9_1",NA,"Kelly S. Benjamin","REP",8181,"0.54"
"2","IN_2016-05-03_PRI","TC2_Bartholomew_9_1",NA,"Scott Andrews","REP",6904,"0.46"
"3","IN_2016-05-03_PRI","TC1_Blackford_1_1",NA,"Nick Barry","REP",1571,"1.00"
"4","IN_2016-05-03_PRI","TC1_Cass_1_1",NA,"James K. (Jim) Muehlhausen","REP",6051,"1.00"
"5","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Stanley O. Faith","DEM",440,"0.14"
"6","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Stanley V. Pennington","DEM",913,"0.28"
"7","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Justin B. Mills","REP",936,"0.29"
"8","IN_2016-05-03_PRI","TC2_Crawford_77_1",NA,"Sabrina R. Bell","REP",949,"0.29"
"9","IN_2016-05-03_PRI","TC2_Dearborn_7_1",NA,"James D. Humphrey","REP",7956,"1.00"
"10","IN_2016-05-03_PRI","TC2_DeKalb_75_1",NA,"Kevin L. Likes","REP",3228,"0.38"
"11","IN_2016-05-03_PRI","TC2_DeKalb_75_1",NA,"Kurt Grimm","REP",5293,"0.62"
"12","IN_2016-05-03_PRI","TC2_Delaware_46_1",NA,"Marianne Lafferty Vorhees","DEM",11870,"1.00"
"13","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Bodie J. Stegelmann","REP",4493,"0.14"
"14","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Christopher J. Spataro","REP",10351,"0.33"
"15","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Martin (Marty) McCloskey","REP",5087,"0.16"
"16","IN_2016-05-03_PRI","TC2_Elkhart_34_1",NA,"Michael A. Christofeno","REP",11071,"0.36"
